15.991,319.7,-296.34
23.742,335.87,-304.58
-19.692,312.28,-304.58
32.875,340.28,-297.13
17.918,319.38,-304.58
-28.737,322.88,-304.58
-14.609,329.91,-304.58
11.565,335.26,-304.58
-9.6622,377.69,-304.58
-4.8956,345.25,-304.58
-20.12,337.6,-304.58
-33.993,352.49,-304.58
24.505,337.02,-304.58
-5.4745,326.35,-304.58
0.25199,321.18,-304.58
-16.503,371.26,-304.58
-21.311,315.39,-282.56
-24.368,339.86,-272.16
-28.98,321.27,-304.58
-38.399,366.68,-304.58
-18.172,379.24,-304.58
9.2234,322.47,-304.58
-6.5636,376.29,-304.58
-7.5409,333.63,-304.58
23.804,328.29,-304.58
3.8397,330.25,-304.58
-29.443,333.2,-304.58
12.109,347.19,-304.58
-24.62,372.54,-304.58
17.096,325.44,-304.58
27.619,350.92,-304.58
3.5627,368.72,-304.58
28.389,343.17,-304.58
-24.829,333.92,-304.58
-28.084,388.89,-302.85
-17.043,314.66,-304.58
-12.64,337.12,-304.58
-21.036,386.07,-304.58
18.491,354.84,-304.58
31.591,345.33,-304.58
-2.5785,337.78,-304.58
-9.6475,335.4,-304.58
1.1156,324.23,-304.58
-20.753,320.81,-304.58
-32.857,322.22,-304.58
13.161,317.38,-304.58
-20.048,327.46,-304.58
10.787,327.04,-304.58
-13.655,342.16,-304.58
-18.815,336.56,-304.58
-18.429,331.81,-270.92
27.031,333.06,-304.58
-20.792,355.61,-304.58
16.271,344.88,-304.58
-7.8694,334.37,-304.58
-36.749,383.19,-304.58
-18.606,363.4,-304.58
-15.835,345.88,-304.58
-22.113,380.79,-304.58
-25.519,319.19,-304.58
-8.3919,358.42,-304.58
7.8348,356.2,-304.58
-22.438,343.89,-304.58
-19.635,337.1,-304.58
-36.175,352.92,-304.58
-16.682,361.54,-304.58
-2.4851,341.28,-268.92
-8.5783,348.03,-304.58
-27.659,358.35,-304.58
3.4211,363.33,-304.58
-15.608,360.69,-269.46
24.38,350.06,-304.58
-36.099,350.1,-304.58
8.5967,334.16,-304.58
-11.953,323.59,-304.58
20.649,343.1,-304.58
-3.5823,362.12,-304.58
16.046,352.02,-304.58
17.019,334.57,-304.58
-18.659,370.52,-304.58
-34.697,327.12,-304.58
1.8183,375.98,-304.58
28.263,344.15,-304.58
31.622,334.24,-303.61
-24.018,330.41,-304.58
-0.35792,345.34,-304.58
23.697,341.34,-304.58
-5.0962,327.13,-304.58
14.262,351.27,-304.58
8.8023,334.85,-304.58
-5.8634,300.93,-304.58
-19.788,314.74,-304.58
-31.817,376.71,-304.58
-32.449,356,-304.58
30.404,341.21,-304.58
-20.408,376.33,-304.58
-9.8025,328.53,-304.58
-27.494,325.92,-304.58
16.382,345.59,-304.58
26.97,345.48,-304.58
-22.145,376.55,-304.58
-37.659,359.51,-304.58
-0.77348,322.82,-279.51
-32.337,379.69,-304.58
-18.103,387.31,-289.77
-9.9006,363.63,-304.58
6.2428,310.03,-304.58
5.9767,360.08,-304.58
-30.078,385.73,-304.58
-15.631,355.96,-304.58
-4.6837,313.08,-304.58
-21.818,386.23,-304.58
-26.036,360.08,-304.58
-16.811,358.03,-304.58
-17.539,325.11,-304.58
-28.336,340.94,-276.85
2.2978,363.07,-304.58
18.398,329.9,-304.58
21.73,349.39,-304.58
-15.05,366.44,-304.58
-28.086,380.35,-304.58
1.9771,330.81,-304.58
-11.649,327.78,-304.58
-12.535,332.53,-304.58
-1.2297,334.76,-304.58
17.878,349.05,-304.58
11.54,354.45,-304.58
-21.432,335.31,-304.58
2.1029,344.99,-304.58
-23.42,364.71,-304.58
12.374,317.33,-304.58
10.155,326.26,-304.58
-29.279,336.17,-304.58
-14.347,352.61,-304.58
-24.119,383.78,-304.58
-15.984,381.6,-304.58
-9.4008,329.41,-271.82
-23.936,327.63,-304.58
22.204,350.85,-304.58
6.6103,356.97,-304.58
-11.841,349.47,-304.58
-12.51,324.07,-304.58
-6.4243,358.99,-304.58
-7.7005,346.33,-304.58
-27.595,333.2,-304.58
-17.308,379.45,-304.58
-17.218,346.22,-304.58
7.6871,347.74,-304.58
31.986,342.41,-304.58
-34.719,377.36,-298.51
-11.403,329.29,-304.58
-21.945,322.15,-277.51
-2.5981,341.28,-304.58
-26.604,333.74,-304.58
15.152,360.33,-304.58
-4.3609,355.6,-304.58
32.557,347.65,-301.75
-24.249,318.62,-280.54
-18.786,310.27,-304.58
34.525,342.57,-304.58
7.0874,369.06,-304.58
-26.38,338.29,-304.58
-22.99,336.66,-271.74
16.766,355.9,-304.58
-28.623,334.78,-304.58
-30.002,354.64,-304.58
-38.082,367.51,-304.58
-11.406,363.14,-304.58
-13.539,326.02,-304.58
-26.536,321.69,-280.46
-4.1112,377.18,-304.58
-4.8295,354.83,-304.58
-19.007,375.28,-277.47
-6.8234,316.6,-304.58
-13.234,380.32,-304.58
-22.394,338.27,-271.02
-30.991,381.54,-304.58
-40.953,362.23,-304.58
19.217,323.75,-304.58
-24.145,349.51,-304.58
0.01739,340.9,-269.45
8.5613,313.44,-304.58
-19.608,375.28,-277.99
-23.321,339.77,-304.58
33.743,341.94,-298.59
-32.244,322.89,-304.58
17.175,315.64,-304.58
-28.674,355.13,-304.58
0.96069,364.53,-304.58
-15.608,308.99,-290.63
0.72256,363.24,-304.58
7.899,332.87,-304.58
-30.5,342.83,-304.58
-25.466,337.89,-304.58
-6.1953,331.22,-304.58
-19.789,367.8,-304.58
-20.784,339.35,-304.58
-20.929,332.79,-304.58
-8.9738,327.26,-304.58
8.1955,344.84,-304.58
-22.144,324.59,-304.58
-32.939,327.63,-304.58
-19.559,337.73,-304.58
-9.2717,334.67,-304.58
-33.482,369.94,-304.58
-13.91,333.48,-304.58
28.959,335.04,-304.58
14.752,356.13,-304.58
-27.818,339.86,-275.97
-23.49,318.88,-304.58
-23.533,355.28,-304.58
-1.0793,311.45,-304.58
-27.768,375,-304.58
17.278,322.15,-304.58
-24.769,365.74,-304.58
-19.754,357.5,-304.58
-7.5156,382.71,-304.58
1.6312,317.41,-304.58
10.114,355.86,-304.58
-25.503,333.84,-304.58
-2.508,321.5,-304.58
13.402,330.66,-304.58
13.768,334.44,-279.57
-17.337,381.19,-304.58
-11.094,372.74,-304.58
-9.2058,312.38,-304.58
9.8944,348.69,-304.58
26.799,334.94,-304.58
34.749,343.01,-300.93
1.3827,350.96,-304.58
11.674,312.86,-304.58
-25.726,348.69,-304.58
-4.3945,349.11,-304.58
9.877,327.92,-281.53
-16.258,325.42,-304.58
-9.7587,356.45,-304.58
4.7304,329.02,-304.58
6.9163,316.14,-304.58
2.9903,343.61,-304.58
-17.95,330.71,-304.58
3.7986,335.82,-304.58
-6.0307,350.88,-304.58
-20.376,379.53,-304.58
-13.24,341.56,-304.58
21.357,342.51,-304.58
-15.608,369.34,-273.24
-19.774,317.99,-279.99
26.161,333.51,-304.58
1.397,325.94,-304.58
0.01739,321.87,-280.68
-38.7,353.4,-304.58
-12.542,336.38,-304.58
-19.44,360.42,-304.58
-12.844,320.98,-304.58
-22.679,383.23,-304.58
27.321,338.66,-304.58
26.574,339.34,-304.58
-29.194,357.2,-304.58
-35.236,359.75,-304.58
19.77,358.55,-304.58
-29.454,317.05,-304.58
20.233,324.59,-304.58
-32.768,373.6,-304.58
-21.621,383.7,-304.58
-39.214,364.36,-304.58
29.578,344.87,-304.58
1.5697,343.49,-271.03
-11.143,334.41,-304.58
-27.591,318.76,-304.58
-11.835,308.74,-304.58
-8.8629,307.97,-304.58
-6.3047,380.11,-304.58
-18.97,361.28,-304.58
-10.156,370.26,-304.58
15.508,318.71,-304.58
-10.759,311.59,-304.58
-10.447,373.14,-304.58
-22.881,370.48,-304.58
17.776,318.14,-304.58
-6.2349,360.08,-304.58
8.9045,354.69,-304.58
17.997,334.7,-304.58
-22.406,313.28,-288.76
-10.334,325.77,-304.58
17.413,339.57,-304.58
-12.944,370.43,-304.58
-14.52,311.68,-304.58
-25.337,364.32,-304.58
-1.6918,336.43,-304.58
-10.069,329.33,-304.58
-1.9925,331.89,-304.58
-34.57,346.94,-304.58
-34.131,386.5,-303.09
-34.818,386.21,-304.58
12.81,364.98,-304.58
6.2293,315.1,-304.58
-20.905,387.57,-290.32
-39.311,369.5,-304.58
-32.942,330.77,-304.58
-28.246,322.14,-304.58
-2.337,327.15,-304.58
30.597,334.5,-304.58
-3.4466,316.02,-304.58
-20.601,323.94,-304.58
24.541,331.64,-304.58
12.987,342.89,-304.58
-32.43,376.31,-304.58
-19.248,335.58,-304.58
-15.202,348.01,-304.58
-18.955,346.45,-304.58
1.4651,312.12,-304.58
-8.1831,317.87,-304.58
17.605,333.85,-304.58
32.898,347.86,-304.58
-26.867,338.82,-274.82
-31.764,360.82,-304.58
-34.345,359.13,-304.58
4.8265,341.26,-304.58
11.666,346.41,-304.58
-36.886,369.02,-304.58
-33.985,364.27,-304.58
-38.019,355.73,-304.58
-3.8997,357.71,-304.58
-31.381,352.78,-304.58
-10.594,356.26,-304.58
-18.486,338.21,-304.58
6.4831,369.95,-304.58
17.354,356.4,-304.58
14.399,343.51,-304.58
-20.066,321.7,-304.58
-26.48,345.9,-304.58
5.6821,336.02,-304.58
-33.926,342.73,-304.58
-39.423,371,-304.58
-15.225,372.62,-304.58
15.671,329.26,-304.58
-1.4679,322.64,-279.38
-27.6,378.07,-304.58
-24.075,345.45,-304.58
-31.829,333.71,-304.58
1.9386,368.49,-304.58
-10.096,355.51,-304.58
