time,id0,id1,id2,x,y,z,momentBendX,momentBendY,momentBendZ,momentTwistX,momentTwistY,momentTwistZ,normalForceX,normalForceY,normalForceZ,shearForceX,shearForceY,shearForceZ
0.06761530380124119,0,3070,0,3.0,0.25,0.5,0,0,0,0,0,0,-30.02473632920949,12.924106656345248,34.51909220410679,6.73873635077758,-32.91910740099976,26.180211509549377
0.06761530380124119,1,1,2,2.9848906388761334,0.24020512977831726,0.524618325168862,0,0,0,0,0,0,-109.56641391559752,-20.587859862764432,-101.38262257222706,-11.711941264769527,-23.70835932473706,35.420554252057784
0.06761530380124119,2,2,3,2.962639228143827,0.2461681435037919,0.5191267714515333,0,0,0,0,0,0,-94.98280193120995,-27.446447829040583,-86.56314853950772,-38.01291862133986,13.424945605766245,24.588527694070937
0.06761530380124119,3,12010,3,2.9743809726834485,0.2579825940314858,0.5418441503268253,0,0,0,0,0,0,-20.904360083498112,-162.8730273643971,-68.40502113311759,-9.709978546956695,0.3588674903546266,9.351600468501765
0.06761530380124119,4,4,5,2.9800467348337785,0.2876446211322362,0.5471740463601952,0,0,0,0,0,0,-6.279217052384068,-223.36422551963346,-21.539953147160475,-3.0045580975801287,-4.001347327883753,7.00624020487269
0.06761530380124119,5,5,6,2.977329968318962,0.3107718866739114,0.5576618114516332,0,0,0,0,0,0,-1.949358893126546,-274.5277835747291,-31.773671352773533,-0.06236337714697365,2.412403523700889,-2.349951939925609
0.06761530380124119,6,3431,6,2.9796173220225173,0.34591992722377296,0.5479089165197579,0,0,0,0,0,0,26.481365943722775,-256.3895774946199,-11.013210217340927,-1.3469336881814256,6.013592125748442,-4.6664635330861435
0.06761530380124119,7,3431,7,2.9831924153886744,0.3688425656384223,0.5329159815110074,0,0,0,0,0,0,30.20523827548861,-74.15930603035609,-7.347823454193467,-4.887417485934644,-13.540899135507926,18.42594032711034
0.06761530380124119,8,3070,8,2.9899512272778264,0.38363974414988455,0.5209004721409773,0,0,0,0,0,0,-73.86822226848805,-19.05915060048883,-12.397909070334046,-26.774887013449515,-5.0129037719747,31.78554119162127
0.06761530380124119,9,3431,9,3.0115597611033875,0.3957060217118567,0.5141421144555124,0,0,0,0,0,0,-21.695975542323133,-21.987986958791954,164.46672989564541,-12.651300701034447,-10.08395628294851,22.733761237017646
0.06761530380124119,10,10,11,3.01627927337935,0.4030537875571698,0.49747453127270513,0,0,0,0,0,0,-9.189540584706402,-12.694402510605709,-41.524662036006816,3.34366843020834,5.065820401300324,-8.411221089469677
0.06761530380124119,11,11,12,3.025282968994703,0.4122633822696158,0.48486878528182653,0,0,0,0,0,0,-38.09983223050191,-22.25922771243824,-40.35544363839949,10.153027510665776,40.203210011418165,-50.35650769326205
0.06761530380124119,12,12,13,3.0104655079768174,0.4225447794235857,0.4711389057728456,0,0,0,0,0,0,-40.08901603532186,-27.25838056996364,-28.408337520628468,-15.138154502342843,46.87062070753335,-31.732523483183147
